Datetime,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature
1773-04-01,2.095,11.51,7.3199999999999985,4,1773,9.415
1773-05-01,2.537,15.300999999999998,10.227,5,1773,12.764000000000001
1773-06-01,1.259,14.07,11.552,6,1773,12.811
1773-07-01,1.085,15.569000000000004,13.399,7,1773,14.484000000000002
1773-08-01,1.162,14.786,12.462,8,1773,13.624
1773-09-01,1.676,14.164000000000001,10.812000000000001,9,1773,12.488
1773-10-01,1.874,11.08,7.331999999999999,10,1773,9.206
1773-11-01,4.817,8.186,-1.4480000000000004,11,1773,3.369
1773-12-01,3.787,8.877999999999998,1.3039999999999985,12,1773,5.090999999999998
1774-02-01,5.124,10.038,-0.21,2,1774,4.914
1774-03-01,2.779,8.422,2.864,3,1774,5.643
1774-04-01,3.849,14.002,6.303999999999999,4,1774,10.153
1774-06-01,3.891,19.262,11.48,6,1774,15.371
1774-08-01,1.947,16.046,12.152,8,1774,14.099
1774-09-01,2.115,13.050999999999998,8.821,9,1774,10.936
1774-10-01,2.625,11.215,5.965,10,1774,8.59
1774-11-01,4.4830000000000005,7.512,-1.4540000000000006,11,1774,3.029
1774-12-01,3.2710000000000004,3.5810000000000004,-2.9610000000000003,12,1774,0.31000000000000005
1775-01-01,3.435,7.696000000000001,0.8260000000000001,1,1775,4.261
1775-02-01,3.139,9.566,3.2880000000000007,2,1775,6.4270000000000005
1775-03-01,2.394,10.153,5.364999999999998,3,1775,7.758999999999999
1775-04-01,1.538,9.489999999999998,6.413999999999999,4,1775,7.951999999999999
1775-05-01,1.846,13.245,9.553,5,1775,11.399000000000001
1775-06-01,2.805,15.119000000000002,9.509,6,1775,12.314
1775-07-01,1.058,15.777000000000001,13.661,7,1775,14.719000000000001
1775-08-01,1.093,15.527999999999999,13.342,8,1775,14.435
1775-09-01,1.459,12.554999999999998,9.637,9,1775,11.095999999999998
1775-10-01,2.116,12.488,8.256,10,1775,10.372
1775-11-01,4.56,12.739,3.6190000000000007,11,1775,8.179
1775-12-01,2.404,3.688,-1.12,12,1775,1.2839999999999998
1776-02-01,3.762,8.587,1.0630000000000002,2,1776,4.825
1776-03-01,2.388,7.04,2.264,3,1776,4.652
1776-04-01,1.404,8.844,6.035999999999999,4,1776,7.439999999999999
1776-05-01,5.237,15.712,5.238,5,1776,10.475
1776-06-01,2.4330000000000003,16.997,12.130999999999998,6,1776,14.564
1776-07-01,1.3030000000000002,15.411,12.805,7,1776,14.107999999999999
1776-08-01,3.437,18.274,11.4,8,1776,14.837
1776-09-01,2.065,12.667,8.537,9,1776,10.602
1776-10-01,2.152,10.211999999999998,5.908,10,1776,8.059999999999999
1776-11-01,2.7880000000000003,8.658000000000001,3.082,11,1776,5.87
1776-12-01,2.934,7.955,2.0869999999999997,12,1776,5.021
1777-01-01,3.11,9.131,2.9110000000000014,1,1777,6.021000000000001
1777-02-01,5.268,10.187,-0.3489999999999993,2,1777,4.9190000000000005
1777-03-01,2.307,7.879,3.265,3,1777,5.572
1777-04-01,1.401,7.762999999999999,4.9609999999999985,4,1777,6.361999999999999
1777-05-01,2.117,13.505999999999998,9.271999999999998,5,1777,11.389000000000001
1777-06-01,1.607,13.93,10.716,6,1777,12.323
1777-07-01,1.078,13.821,11.665,7,1777,12.743
1777-08-01,1.269,14.084000000000001,11.546,8,1777,12.815
1777-09-01,2.692,14.071,8.687000000000001,9,1777,11.379000000000001
1777-10-01,3.464,10.42,3.4920000000000004,10,1777,6.956
1777-11-01,2.276,7.805,3.253,11,1777,5.529
1777-12-01,2.725,5.792000000000001,0.3420000000000001,12,1777,3.0669999999999997
1778-01-01,3.544,6.065,-1.0229999999999997,1,1778,2.521
1778-02-01,3.569,9.663,2.5249999999999995,2,1778,6.0939999999999985
1778-03-01,4.151,8.754999999999999,0.4530000000000003,3,1778,4.604
1778-04-01,1.69,12.673999999999998,9.294,4,1778,10.983999999999998
1778-05-01,1.673,12.959000000000001,9.613,5,1778,11.286
1778-06-01,3.975,15.706,7.756,6,1778,11.731
1778-07-01,2.216,17.253,12.821000000000002,7,1778,15.037
1778-08-01,2.658,15.527,10.211000000000002,8,1778,12.869000000000002
1778-09-01,2.35,15.727,11.027,9,1778,13.377
1778-10-01,3.608,11.657,4.440999999999999,10,1778,8.049
1778-11-01,2.675,6.529,1.1790000000000005,11,1778,3.8539999999999996
1778-12-01,2.361,4.462,-0.2599999999999998,12,1778,2.101
1779-01-01,2.802,4.272,-1.332,1,1779,1.4700000000000002
1779-02-01,4.959,10.099,0.18100000000000005,2,1779,5.14
1779-03-01,3.017,9.984,3.9500000000000006,3,1779,6.9670000000000005
1779-04-01,3.0860000000000003,13.050999999999998,6.879,4,1779,9.965
1779-05-01,1.863,16.043,12.317,5,1779,14.18
1779-06-01,2.14,14.687,10.407,6,1779,12.547
1779-07-01,1.858,15.517,11.800999999999998,7,1779,13.659
1779-08-01,1.4780000000000002,15.277000000000001,12.321,8,1779,13.799000000000001
1779-09-01,1.809,14.492,10.874,9,1779,12.683
1779-10-01,1.544,10.894,7.805999999999999,10,1779,9.35
1779-11-01,2.258,8.027999999999999,3.5120000000000005,11,1779,5.7700000000000005
1779-12-01,3.256,5.525,-0.987,12,1779,2.269
1780-01-01,3.438,5.952999999999999,-0.9229999999999999,1,1780,2.515
1780-02-01,3.179,7.2589999999999995,0.9010000000000002,2,1780,4.08
1780-03-01,2.381,8.105,3.3430000000000004,3,1780,5.724
1780-04-01,3.0580000000000003,16.79,10.674000000000001,4,1780,13.732000000000001
1780-06-01,2.9810000000000003,17.727999999999998,11.765999999999998,6,1780,14.747
1780-08-01,3.131,16.078,9.816,8,1780,12.947000000000001
1780-09-01,2.104,10.948,6.739999999999998,9,1780,8.844
1780-10-01,1.873,11.249,7.502999999999999,10,1780,9.376
1780-11-01,2.596,9.302,4.11,11,1780,6.706
1780-12-01,3.5580000000000003,6.142,-0.9740000000000002,12,1780,2.5839999999999996
1781-01-01,4.948,7.349,-2.5470000000000006,1,1781,2.401
1781-02-01,3.5810000000000004,5.848000000000001,-1.3140000000000005,2,1781,2.267
1781-03-01,2.443,7.215,2.329,3,1781,4.772
1781-04-01,2.076,8.998999999999997,4.847,4,1781,6.922999999999999
1781-05-01,1.838,12.94,9.264,5,1781,11.102
1781-06-01,1.385,13.063,10.293,6,1781,11.678
1781-07-01,1.696,15.981,12.589,7,1781,14.285
1781-08-01,1.004,15.144999999999998,13.137,8,1781,14.140999999999998
1781-09-01,3.69,13.993999999999998,6.613999999999999,9,1781,10.303999999999998
1781-10-01,1.2819999999999998,9.829,7.264999999999999,10,1781,8.546999999999999
1781-11-01,1.676,9.199,5.847,11,1781,7.523
1781-12-01,4.427,7.715,-1.1389999999999991,12,1781,3.2880000000000003
1782-01-01,3.547,3.888,-3.2059999999999995,1,1782,0.3410000000000002
1782-02-01,4.862,5.501,-4.223000000000001,2,1782,0.6389999999999998
