Datetime,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature,Yearly_SMA,Decade_SMA,Semicentennial_SMA,Centurie,Global_Warming
1767-05-01,1.501,11.694,8.692,5,1767,10.193,9.17675,8.045458333333332,,,1
1767-06-01,1.426,15.538,12.686,6,1767,14.112,9.417083333333334,8.041833333333331,,,1
1767-07-01,2.559,15.920000000000002,10.802,7,1767,13.361,9.392750000000001,8.037291666666665,,,1
1767-08-01,1.466,16.063,13.130999999999998,8,1767,14.597,9.479583333333336,8.04695833333333,,,1
1767-09-01,2.313,13.988,9.362,9,1767,11.675,9.306000000000003,8.038816666666664,,,1
1767-10-01,1.611,10.638,7.415999999999999,10,1767,9.027,9.037416666666669,8.05310833333333,,,1
1767-11-01,3.775,11.69,4.1400000000000015,11,1767,7.915,8.991583333333336,8.08385833333333,,,0
1767-12-01,2.2969999999999997,3.486,-1.1079999999999997,12,1767,1.189,8.469500000000002,8.075724999999997,,,0
1768-02-01,3.04,3.5460000000000003,-2.5340000000000003,2,1768,0.5060000000000002,8.317250000000001,8.049074999999997,,,0
1768-03-01,2.157,4.603,0.2890000000000001,3,1768,2.446,8.193416666666668,8.031716666666664,,,0
1768-04-01,1.84,8.76,5.08,4,1768,6.92,8.184916666666668,8.020666666666664,,,0
1768-05-01,2.4330000000000003,11.499,6.633000000000001,5,1768,9.066,8.417250000000001,7.987558333333331,,,1
1768-06-01,1.729,14.218999999999998,10.761,6,1768,12.489999999999998,8.608666666666666,7.967874999999998,,,1
1768-07-01,2.552,16.427,11.323,7,1768,13.875,8.588916666666668,8.029483333333332,,,1
1768-08-01,2.046,14.398,10.306,8,1768,12.352,8.504833333333334,8.098816666666664,,,1
1768-09-01,1.504,12.328,9.320000000000002,9,1768,10.824000000000002,8.190416666666668,8.18050833333333,,,1
1768-10-01,2.5580000000000003,10.287,5.170999999999999,10,1768,7.728999999999999,7.861583333333335,8.238199999999997,,,0
1768-11-01,2.02,6.601000000000001,2.5610000000000004,11,1768,4.581,7.491083333333335,8.244999999999997,,,0
1768-12-01,2.286,4.952999999999999,0.3809999999999998,12,1768,2.667,7.053750000000001,8.207141666666665,,,0
1769-01-01,3.76,6.065,-1.4549999999999996,1,1769,2.305,7.146750000000002,8.145391666666663,,,0
1769-02-01,2.5269999999999997,4.691,-0.3629999999999996,2,1769,2.164,7.2849166666666685,8.05393333333333,,,0
1769-03-01,2.225,6.795,2.345,3,1769,4.57,7.46191666666667,7.976624999999998,,,0
1769-04-01,3.105,12.071999999999996,5.8619999999999965,4,1769,8.966999999999997,7.632500000000003,7.952866666666664,,,1
1769-05-01,1.7530000000000001,14.626,11.12,5,1769,12.873,7.9497500000000025,7.976574999999998,,,1
1769-06-01,1.7269999999999999,16.869,13.415,6,1769,15.142,8.170750000000004,8.086974999999999,,,1
1769-07-01,3.6689999999999996,18.13,10.792000000000002,7,1769,14.461,8.219583333333336,8.149524999999999,,,1
1769-08-01,1.604,15.098000000000004,11.89,8,1769,13.494000000000002,8.314750000000002,8.234899999999998,,,1
1769-09-01,1.598,12.848,9.652,9,1769,11.25,8.350250000000003,8.286866666666665,,,1
1769-10-01,2.395,7.691999999999997,2.901999999999999,10,1769,5.296999999999999,8.147583333333335,8.296991666666665,,,0
1769-11-01,2.267,5.057,0.5230000000000001,11,1769,2.79,7.998333333333336,8.282574999999998,,,0
1770-01-01,4.275,6.2490000000000006,-2.301,1,1770,1.974,7.940583333333336,8.249166666666666,,,0
1770-02-01,4.129,8.234,-0.02399999999999913,2,1770,4.105,8.090583333333337,8.198466666666667,,,0
1770-03-01,2.276,3.888,-0.6639999999999997,3,1770,1.612,8.044583333333335,8.0993,,,0
1770-04-01,3.516,13.304,6.272,4,1770,9.788,8.479416666666667,8.076483333333334,,,1
1770-05-01,1.27,11.265999999999998,8.726,5,1770,9.996,8.565166666666668,8.038225,,,1
1770-06-01,3.395,15.279000000000002,8.488999999999999,6,1770,11.884,8.482750000000001,8.032041666666666,,,1
1770-07-01,2.658,14.279000000000002,8.963000000000003,7,1770,11.621,8.189333333333334,8.059991666666667,,,1
1770-08-01,3.14,14.553,8.273,8,1770,11.413,7.935333333333333,8.119533333333333,,,1
1770-09-01,1.51,12.234000000000002,9.214,9,1770,10.724,7.7045,8.206841666666667,,,1
1770-10-01,1.6030000000000002,10.264,7.058,10,1770,8.661,7.4887500000000005,8.258716666666666,,,1
1770-11-01,2.7260000000000004,8.517000000000001,3.065,11,1770,5.791,7.529916666666668,8.291441666666666,,,0
1770-12-01,2.87,7.604,1.864,12,1770,4.734,7.691916666666667,8.268925,,,0
1771-01-01,4.287,9.388,0.8140000000000001,1,1771,5.101,7.9525,8.222591666666666,,,0
1771-03-01,3.237,6.051,-0.423,3,1771,2.814,7.844916666666666,8.1465,,,0
1771-04-01,2.647,8.363999999999999,3.069999999999999,4,1771,5.716999999999999,8.187,8.086749999999999,,,0
1771-05-01,3.088,12.714,6.537999999999999,5,1771,9.626,8.1735,8.050991666666665,,,1
1771-06-01,1.403,15.507,12.700999999999999,6,1771,14.104,8.515833333333335,8.075216666666666,,,1
1771-07-01,1.435,15.263,12.392999999999999,7,1771,13.828,8.677833333333334,8.13460833333333,,,1
1771-08-01,2.246,16.45,11.958,8,1771,14.204,8.893083333333335,8.207674999999998,,,1
1771-09-01,1.515,12.878,9.847999999999999,9,1771,11.363,8.888916666666669,8.281091666666663,,,1
1771-10-01,1.7209999999999999,12.038,8.596,10,1771,10.317,8.855000000000002,8.362066666666664,,,1
1771-11-01,2.952,7.8679999999999986,1.9640000000000004,11,1771,4.916,8.542916666666668,8.380241666666665,,,0
1771-12-01,3.5060000000000002,6.0280000000000005,-0.9840000000000004,12,1771,2.522,8.270500000000004,8.351458333333332,,,0
1772-01-01,4.624,5.877000000000002,-3.3710000000000004,1,1772,1.253,7.98041666666667,8.300891666666665,,,0
1772-02-01,5.962999999999999,7.440999999999999,-4.484999999999999,2,1772,1.4780000000000002,7.678500000000003,8.201116666666664,,,0
1772-03-01,2.206,5.263,0.851,3,1772,3.057,7.698750000000004,8.09883333333333,,,0
1772-04-01,1.524,10.381999999999998,7.333999999999998,4,1772,8.857999999999997,7.960500000000004,8.068191666666664,,,1
1772-05-01,1.844,11.375,7.687,5,1772,9.531,7.952583333333338,8.087391666666663,,,1
1772-06-01,2.4290000000000003,15.075999999999999,10.217999999999998,6,1772,12.646999999999998,7.831166666666672,8.150374999999997,,,1
1772-07-01,1.409,15.99,13.172,7,1772,14.581,7.893916666666672,8.214666666666664,,,1
1772-08-01,1.641,15.739,12.457,8,1772,14.098,7.8850833333333386,8.292141666666662,,,1
1772-09-01,1.334,11.637,8.969,9,1772,10.302999999999999,7.796750000000006,8.348599999999996,,,1
1772-10-01,1.386,10.653999999999998,7.881999999999999,10,1772,9.267999999999999,7.709333333333338,8.350674999999997,,,1
1772-11-01,2.582,10.318,5.154000000000002,11,1772,7.7360000000000015,7.944333333333339,8.324466666666662,,,0
1772-12-01,2.6239999999999997,8.136000000000001,2.888000000000001,12,1772,5.5120000000000005,8.193500000000006,8.25790833333333,,,0
1773-02-01,3.0210000000000004,4.442,-1.6000000000000003,2,1773,1.4209999999999998,8.207500000000005,8.147083333333331,,,0
1773-03-01,2.083,6.505000000000003,2.3390000000000013,3,1773,4.4220000000000015,8.45283333333334,8.06733333333333,,,0
1773-04-01,2.095,11.51,7.3199999999999985,4,1773,9.415,8.982666666666672,8.059741666666664,,,1
1773-05-01,2.537,15.300999999999998,10.227,5,1773,12.764,9.308166666666672,8.11480833333333,,,1
1773-06-01,1.2590000000000001,14.07,11.552,6,1773,12.811,9.581500000000005,8.168508333333332,,,1
1773-07-01,1.085,15.569000000000004,13.399000000000001,7,1773,14.484000000000002,9.73458333333334,8.263183333333332,,,1
1773-08-01,1.162,14.786,12.462,8,1773,13.624,9.65483333333334,8.365308333333331,,,1
1773-09-01,1.676,14.164,10.812,9,1773,12.488,9.520666666666672,8.46295,,,1
1773-10-01,1.874,11.08,7.331999999999999,10,1773,9.206,9.429250000000005,8.526533333333331,,,1
1773-11-01,4.817,8.186,-1.4480000000000004,11,1773,3.3689999999999998,8.937666666666672,8.489016666666664,,,0
1773-12-01,3.787,8.877999999999998,1.3039999999999985,12,1773,5.090999999999998,8.717250000000005,8.442266666666663,,,0
1774-02-01,5.124,10.038,-0.21,2,1774,4.914,8.667416666666671,8.38095833333333,,,0
1774-03-01,2.779,8.422,2.864,3,1774,5.643,9.019250000000005,8.310266666666665,,,0
1774-04-01,3.8489999999999998,14.002,6.3039999999999985,4,1774,10.152999999999999,9.496833333333337,8.30005833333333,,,1
1774-06-01,3.891,19.262,11.48,6,1774,15.370999999999999,9.993166666666673,8.382024999999997,,,1
1774-08-01,1.9469999999999998,16.046,12.152000000000001,8,1774,14.099,10.10441666666667,8.461283333333332,,,1
1774-09-01,2.115,13.050999999999998,8.821,9,1774,10.936,9.94816666666667,8.524216666666664,,,1
1774-10-01,2.625,11.215,5.965,10,1774,8.59,9.457000000000003,8.581291666666663,,,1
1774-11-01,4.4830000000000005,7.5120000000000005,-1.4540000000000006,11,1774,3.029,8.574083333333336,8.55518333333333,,,0
1774-12-01,3.2710000000000004,3.5810000000000004,-2.9610000000000003,12,1774,0.31000000000000005,7.559250000000003,8.51175833333333,,,0
1775-01-01,3.435,7.6960000000000015,0.8260000000000001,1,1775,4.261,7.14716666666667,8.481599999999997,,,0
1775-02-01,3.139,9.566,3.2880000000000007,2,1775,6.4270000000000005,7.402000000000004,8.442033333333331,,,0
1775-03-01,2.394,10.152999999999999,5.364999999999998,3,1775,7.758999999999999,7.624333333333337,8.408999999999997,,,0
1775-04-01,1.538,9.489999999999998,6.413999999999999,4,1775,7.951999999999999,7.877500000000004,8.371041666666665,,,0
1775-05-01,1.8459999999999999,13.245,9.552999999999999,5,1775,11.399,8.35716666666667,8.36368333333333,,,1
1775-06-01,2.805,15.119000000000002,9.509,6,1775,12.314,8.537250000000006,8.377166666666664,,,1
1775-07-01,1.058,15.777,13.661,7,1775,14.719,8.482916666666672,8.416399999999998,,,1
1775-08-01,1.093,15.528,13.342,8,1775,14.435,8.510916666666672,8.488433333333331,,,1
1775-09-01,1.459,12.554999999999998,9.637,9,1775,11.095999999999998,8.524250000000004,8.53660833333333,,,1
1775-10-01,2.116,12.488,8.256,10,1775,10.372,8.672750000000004,8.591541666666664,,,1
1775-11-01,4.56,12.739,3.6190000000000007,11,1775,8.179,9.101916666666671,8.627766666666664,,,0
1775-12-01,2.404,3.688,-1.12,12,1775,1.2839999999999998,9.183083333333338,8.581308333333332,,,0
1776-02-01,3.762,8.587,1.0630000000000002,2,1776,4.825,9.230083333333338,8.546408333333334,,,0
1776-03-01,2.388,7.04,2.2640000000000002,3,1776,4.652,9.082166666666671,8.495725,,,0
1776-04-01,1.4040000000000001,8.844,6.035999999999999,4,1776,7.439999999999999,9.055583333333338,8.46745,,,0
1776-05-01,5.237,15.712,5.2379999999999995,5,1776,10.475,9.265833333333338,8.438466666666667,,,1
1776-06-01,2.4330000000000003,16.997,12.130999999999998,6,1776,14.564,9.529583333333337,8.4505,,,1
1776-07-01,1.3030000000000002,15.411,12.805,7,1776,14.108,9.679083333333338,8.476458333333333,,,1
1776-08-01,3.437,18.274,11.4,8,1776,14.837,9.688916666666671,8.534233333333335,,,1
1776-09-01,2.065,12.667,8.537,9,1776,10.602,9.369500000000004,8.575891666666669,,,1
