Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal,Average_Temps
1980-08-01,8,1980,8.67485833333332,1,1927.0,733.6666666666665,119.66666666666669,90.0,1.2099999999999984,2462.6666666666665,5333.0,14.189
1980-09-01,9,1980,8.675224999999985,1,1932.0,735.25,119.75,89.0,1.2074999999999985,2452.5,5328.5,12.321
1980-10-01,10,1980,8.676908333333321,1,1937.0,736.8333333333335,119.83333333333331,88.0,1.2049999999999983,2442.333333333333,5324.0,9.55
1980-11-01,11,1980,8.682216666666651,1,1942.0,738.4166666666665,119.91666666666669,87.0,1.202499999999998,2432.1666666666665,5319.5,6.684
1980-12-01,12,1980,8.686341666666651,1,1947.0,740.0,120.0,86.0,1.1999999999999982,2422.0,5315.0,4.016
1981-01-01,1,1981,8.693158333333319,1,1944.833333333333,741.3333333333335,120.08333333333331,84.16666666666667,1.1949999999999985,2410.9166666666665,5301.416666666667,3.785
1981-02-01,2,1981,8.702774999999985,1,1942.666666666667,742.6666666666665,120.16666666666669,82.33333333333333,1.1899999999999984,2399.833333333333,5287.833333333333,4.021
1981-03-01,3,1981,8.713091666666651,1,1940.5,744.0,120.25,80.5,1.1849999999999985,2388.75,5274.25,6.239
1981-04-01,4,1981,8.718208333333319,1,1938.333333333333,745.3333333333335,120.33333333333331,78.66666666666667,1.1799999999999986,2377.6666666666665,5260.666666666667,8.953
1981-05-01,5,1981,8.721158333333323,1,1936.166666666667,746.6666666666665,120.41666666666669,76.83333333333333,1.1749999999999987,2366.583333333333,5247.083333333333,11.565
1981-06-01,6,1981,8.726708333333322,1,1934.0,748.0,120.5,75.0,1.1699999999999988,2355.5,5233.5,13.765
1981-07-01,7,1981,8.731699999999991,1,1931.833333333333,749.3333333333335,120.58333333333331,73.16666666666667,1.164999999999999,2344.4166666666665,5219.916666666667,14.738
1981-08-01,8,1981,8.736891666666656,1,1929.666666666667,750.6666666666665,120.66666666666669,71.33333333333333,1.159999999999999,2333.333333333333,5206.333333333333,14.502
1981-09-01,9,1981,8.737699999999991,1,1927.5,752.0,120.75,69.5,1.1549999999999991,2322.25,5192.75,12.236
1981-10-01,10,1981,8.737749999999991,1,1925.333333333333,753.3333333333335,120.83333333333331,67.66666666666667,1.1499999999999992,2311.1666666666665,5179.166666666667,9.394
1981-11-01,11,1981,8.737566666666657,1,1923.166666666667,754.6666666666665,120.91666666666669,65.83333333333333,1.1449999999999994,2300.083333333333,5165.583333333333,6.273
1981-12-01,12,1981,8.742999999999991,1,1921.0,756.0,121.0,64.0,1.1399999999999997,2289.0,5152.0,4.519
1982-01-01,1,1982,8.748633333333322,1,1926.916666666667,754.6666666666665,121.0,64.0,1.1374999999999993,2281.25,5148.75,2.5580000000000003
1982-02-01,2,1982,8.754233333333325,1,1932.833333333333,753.3333333333335,121.0,64.0,1.1349999999999991,2273.5,5145.5,3.281
1982-03-01,3,1982,8.750783333333324,1,1938.75,752.0,121.0,64.0,1.1324999999999992,2265.75,5142.25,4.873
1982-04-01,4,1982,8.75184999999999,1,1944.666666666667,750.6666666666665,121.0,64.0,1.129999999999999,2258.0,5139.0,8.465
1982-05-01,5,1982,8.753458333333324,1,1950.583333333333,749.3333333333335,121.0,64.0,1.1274999999999988,2250.25,5135.75,11.348
1982-06-01,6,1982,8.751324999999989,1,1956.5,748.0,121.0,64.0,1.124999999999999,2242.5,5132.5,13.245
1982-07-01,7,1982,8.753941666666657,1,1962.416666666667,746.6666666666665,121.0,64.0,1.1224999999999987,2234.75,5129.25,14.545
1982-08-01,8,1982,8.750816666666656,1,1968.333333333333,745.3333333333335,121.0,64.0,1.1199999999999986,2227.0,5126.0,13.796
1982-09-01,9,1982,8.751966666666657,1,1974.25,744.0,121.0,64.0,1.1174999999999986,2219.25,5122.75,12.039000000000001
1982-10-01,10,1982,8.751016666666656,1,1980.166666666667,742.6666666666665,121.0,64.0,1.1149999999999984,2211.5,5119.5,9.232000000000001
1982-11-01,11,1982,8.752383333333322,1,1986.083333333333,741.3333333333335,121.0,64.0,1.1124999999999985,2203.75,5116.25,5.961
1982-12-01,12,1982,8.756958333333321,1,1992.0,740.0,121.0,64.0,1.1099999999999983,2196.0,5113.0,4.327
1983-01-01,1,1983,8.760349999999987,1,1992.25,740.0833333333335,121.33333333333331,63.5,1.1083333333333316,2194.333333333333,5111.416666666667,3.4450000000000003
1983-02-01,2,1983,8.75964999999999,1,1992.5,740.1666666666665,121.66666666666669,63.0,1.1066666666666651,2192.6666666666665,5109.833333333333,3.8139999999999996
1983-03-01,3,1983,8.758641666666657,1,1992.75,740.25,122.0,62.5,1.1049999999999984,2191.0,5108.25,5.699
1983-04-01,4,1983,8.75659999999999,1,1993.0,740.3333333333335,122.33333333333331,62.0,1.1033333333333315,2189.333333333333,5106.666666666667,8.693
1983-05-01,5,1983,8.756266666666656,1,1993.25,740.4166666666665,122.66666666666669,61.5,1.101666666666665,2187.6666666666665,5105.083333333333,11.729000000000001
1983-06-01,6,1983,8.753383333333321,1,1993.5,740.5,123.0,61.0,1.0999999999999983,2186.0,5103.5,13.478
1983-07-01,7,1983,8.753158333333321,1,1993.75,740.5833333333335,123.33333333333331,60.5,1.0983333333333318,2184.333333333333,5101.916666666667,14.408
1983-08-01,8,1983,8.756766666666657,1,1994.0,740.6666666666665,123.66666666666669,60.0,1.0966666666666651,2182.6666666666665,5100.333333333333,14.302
1983-09-01,9,1983,8.761541666666657,1,1994.25,740.75,124.0,59.5,1.0949999999999986,2181.0,5098.75,12.698
