Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal
1919-05-01,5,1919,8.280449999999991,1,815.5,10.0,0.0,0.0,0.0,56.333333333333336,881.8333333333334
1919-06-01,6,1919,8.282666666666657,1,804.0,10.0,0.0,0.0,0.0,57.0,871.0
1919-07-01,7,1919,8.28444999999999,1,792.5,10.0,0.0,0.0,0.0,57.666666666666664,860.1666666666666
1919-08-01,8,1919,8.284733333333325,1,781.0,10.0,0.0,0.0,0.0,58.333333333333336,849.3333333333334
1919-09-01,9,1919,8.285658333333322,1,769.5,10.0,0.0,0.0,0.0,59.0,838.5
1919-10-01,10,1919,8.287066666666657,1,758.0,10.0,0.0,0.0,0.0,59.666666666666664,827.6666666666666
1919-11-01,11,1919,8.280841666666657,1,746.5,10.0,0.0,0.0,0.0,60.333333333333336,816.8333333333334
1919-12-01,12,1919,8.280849999999992,1,735.0,10.0,0.0,0.0,0.0,61.0,806.0
1920-01-01,1,1920,8.285083333333327,1,744.0,10.083333333333334,0.0,0.0,0.0,62.416666666666664,816.5
1920-02-01,2,1920,8.284883333333324,1,753.0,10.166666666666666,0.0,0.0,0.0,63.833333333333336,827.0
1920-03-01,3,1920,8.290058333333327,1,762.0,10.25,0.0,0.0,0.0,65.25,837.5
1920-04-01,4,1920,8.291624999999991,1,771.0,10.333333333333334,0.0,0.0,0.0,66.66666666666667,848.0
1920-05-01,5,1920,8.292674999999992,1,780.0,10.416666666666666,0.0,0.0,0.0,68.08333333333333,858.5
1920-06-01,6,1920,8.292291666666657,1,789.0,10.5,0.0,0.0,0.0,69.5,869.0
1920-07-01,7,1920,8.292008333333325,1,798.0,10.583333333333334,0.0,0.0,0.0,70.91666666666667,879.5
1920-08-01,8,1920,8.292183333333325,1,807.0,10.666666666666666,0.0,0.0,0.0,72.33333333333333,890.0
1920-09-01,9,1920,8.292691666666661,1,816.0,10.75,0.0,0.0,0.0,73.75,900.5
1920-10-01,10,1920,8.292816666666656,1,825.0,10.833333333333334,0.0,0.0,0.0,75.16666666666667,911.0
